date,federationId,match_link,season,serie,arena,home_team,away_team,domare1,domare2
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/41551/match/1593093,2025/26,Juniorallsvenskan C DJ18,Hägerneholmshallen,580732037,Täby FC,Rönnby Västerås IBK Ungdom,Andreas Persson Stenberg,Peter Hagelin
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/41542/match/1597536,2025/26,Juniorallsvenskan D HJ18,Glömstahallen,580703049,Huddinge IBS,AIK IBF,Manne Jahnsson,Johnny Mikael Claesson
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/41545/match/1591734,2025/26,Juniorallsvenskan G HJ18,Torpahallen,580706046,IBK Göteborg,IBK Lidköping/Skara IBK,Oscar Skogsberg,Adnan Tongur
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/41546/match/1591896,2025/26,Juniorallsvenskan H HJ18,Skyttesskolan,580707028,Frölunda IBK,Varla IBK,Linus Backlund,Tommy Runhammar
2025-11-19,9,https://stats.innebandy.se/sasong/43/serie/41531/match/1588723,2025/26,Pantamera Flickor Röd Klass A,Ramdalens Sportcenter,232200024,Onyx IBS,Hjulsbro IK F 10/11,Mats-Ola Svensson,Magnus Appelkvist
2025-11-19,10,https://stats.innebandy.se/sasong/43/serie/40695/match/1571646,2025/26,SSL - Svenska Superligan Damer,IFU Arena A,580020066,Storvreta IBK,Täby FC IBK,Hampus Viking,Rasmus Widén
2025-11-19,10,https://stats.innebandy.se/sasong/43/serie/40696/match/1572122,2025/26,Allsvenskan Damer Norra,IFU Arena Mirva (E),580026046,Hagunda IF,Alunda IBF,Fredrik Andersson,Handrin Thunqvist
2025-11-19,10,https://stats.innebandy.se/sasong/43/serie/41180/match/1596109,2025/26,H6,Stenhagen BoKC,170006044,Stenhagens KK Legends,Fyris Nabla IBK U,Andreas Pettersson,Pierre Johan Hällström
2025-11-19,10,https://stats.innebandy.se/sasong/43/serie/41180/match/1596111,2025/26,H6,S:t Ilianshallen,170006046,Enköpings IBK U,Midas IBK U,Anton Ceder,Haris Hodzic
2025-11-19,11,https://stats.innebandy.se/sasong/43/serie/40695/match/1571647,2025/26,SSL - Svenska Superligan Damer,AllOffice Arena,580020067,Karlstad IBF,Västerås Rönnby IBK,Jörgen Andersson,Amir Zilic
2025-11-19,11,https://stats.innebandy.se/sasong/43/serie/42618/match/1662521,2025/26,DM Flickor 15,Karlbergshallen A Karlskoga,188200004,Karlskoga IBF/Degerfors IBK,Skoghalls IBK Utveckling,Albin Herco,Hugo Hagberg
2025-11-19,12,https://stats.innebandy.se/sasong/43/serie/40695/match/1571644,2025/26,SSL - Svenska Superligan Damer,Umeå Energi Arena,580020064,IBK Dalen,Thorengruppen IBK,Daniel Bäckner,Jonatan Svahn
2025-11-19,12,https://stats.innebandy.se/sasong/43/serie/40696/match/1572119,2025/26,Allsvenskan Damer Norra,Balderhallen A,580026043,Gamla Stan IBK,IBF Dalen,Tony Cederholm,Manuel Garzon
2025-11-19,12,https://stats.innebandy.se/sasong/43/serie/42632/match/1663386,2025/26,DM Herrar 2026 Omg 1,Morö Backe A,199110002,Citykamraterna BK,FBC Moröbacke,Maxim Khamrakulov,Jonas Fahlman
2025-11-19,12,https://stats.innebandy.se/sasong/43/serie/41429/match/1598628,2025/26,Herrar Division 2,Eddahallen,191121029,Skellefteå IBK,Thorengruppen IBK,Mats Erelund,Peter Saari
2025-11-19,12,https://stats.innebandy.se/sasong/43/serie/41808/match/1639867,2025/26,Pantamera F Div. 17,Musköten 1,194217007,IBF Dalen,IBF Dalen/Vit,Ludvig Bjuhr,Thor Nordendahl
2025-11-19,12,https://stats.innebandy.se/sasong/43/serie/41794/match/1640079,2025/26,Pantamera F Div. 2,Liljahallen,193402009,Sandåkerns SK/Röd,Spöland Vännäs IF,Roger Karlsson,Mats Lodesjö
2025-11-19,12,https://stats.innebandy.se/sasong/43/serie/41832/match/1639392,2025/26,Pantamera P Div. 26,Carlslundshallen,194726006,Röbäcks IF,Gimonäs Umeå IF/TBG,Nova Juliusson Nordqvist,Moa Roth
2025-11-19,14,https://stats.innebandy.se/sasong/43/serie/41946/match/1602510,2025/26,Damjunior,"Stadsskogshallen, Alingsås",204332006,IBK Alingsås Flickor Ungdom,IBK Lockerud Mariestad DJ,Nebojsa Stefanovski,Daniel Dimitrovski
