date,federationId,match_link,season,serie,arena,home_team,away_team,domare1,domare2
2025-11-19,14,https://stats.innebandy.se/sasong/43/serie/41545/match/1591734,2025/26,Juniorallsvenskan G HJ18,Torpahallen,580706046,IBK Göteborg,IBK Lidköping/Skara IBK,Oscar Skogsberg,Adnan Tongur
2025-11-19,14,https://stats.innebandy.se/sasong/43/serie/41569/match/1602981,2025/26,Pantamera Pojkar Röd 2,"Stöpenhallen, Skövde",204302015,Stöpen IBK P10/11,Tibro IBK P09-11,Felix Nilsson,Kevin Karlsson
2025-11-19,14,https://stats.innebandy.se/sasong/43/serie/41616/match/1606788,2025/26,Pojkar Blå 3 Grupp 3,Sandaredshallen,209504008,Sandareds IBS P 15,Vara IBK P 2015 Svart,,
2025-11-19,17,https://stats.innebandy.se/sasong/43/serie/40696/match/1572121,2025/26,Allsvenskan Damer Norra,Bilkompaniet Arena,580026045,KAIS Mora IF,Sundsvalls IBF,Tim Green,Daniel Larsson
2025-11-19,17,https://stats.innebandy.se/sasong/43/serie/41155/match/1584982,2025/26,Damjunior A Mittsverige,Höglandshallen Örnsköldsvik,242401008,Örnsköldsvik IBK F11 Röd,Moälvens IBK Ungdom DJ18,Kathrine-Louise Näslund,Jazlynne-Anne Näslund
2025-11-19,15,https://stats.innebandy.se/sasong/43/serie/40695/match/1571647,2025/26,SSL - Svenska Superligan Damer,AllOffice Arena,580020067,Karlstad IBF,Västerås Rönnby IBK,Jörgen Andersson,Amir Zilic
2025-11-19,15,https://stats.innebandy.se/sasong/43/serie/41551/match/1593092,2025/26,Juniorallsvenskan C DJ18,Hässelbyhallen,580732036,Hässelby SK IBK,Västerås IBS Ungdom,Aldin Imamovic,Imtiaz Karim
2025-11-19,15,https://stats.innebandy.se/sasong/43/serie/41551/match/1593093,2025/26,Juniorallsvenskan C DJ18,Hägerneholmshallen,580732037,Täby FC,Rönnby Västerås IBK Ungdom,Andreas Persson Stenberg,Peter Hagelin
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/40695/match/1571649,2025/26,SSL - Svenska Superligan Damer,Partille Arena A-hallen,580020069,FBC Partille,Pixbo IBK,Tobias Anderberg,Jacob Johansson
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/40697/match/1570705,2025/26,Allsvenskan Damer Södra,Lindås Waves Arena,580027052,Lindås IBK,Landvetter IBK,Richard Claesson,Stefan Olsson
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/42616/match/1661931,2025/26,Crabions League 25-26,Nordby Supermarkethallen A-hallen,067778011,Turnegänget,Tigers,,
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/42616/match/1661932,2025/26,Crabions League 25-26,Nordby Supermarkethallen A-hallen,067778012,Park/ Dahlbergs,Krokstrands Gräv,,
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/41175/match/1573116,2025/26,Damer Div. 1 region,Wallenstam Arena A,062222053,Pixbo IBF,Varla IBK Dam,Magnus Fredriksson,Aldin Hadziselmovic
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/42080/match/1647658,2025/26,Damer Div. 3,Ekenhallen 1,061000052,Eken IBK D3,Mölndals IBF D3,Pierre Eberhard Berg,Håkan Krafft
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/42082/match/1654533,2025/26,Herrar Div. 4 B,Prioritet SERNEKE Arena B-Hallen,062505054,Utbynäs SK H4,Lindome IBK H4,Wessam Abdellrazek,Jonathan Johansson
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/42082/match/1654515,2025/26,Herrar Div. 4 B,Nova Floda Sportcenter A-hall,062505036,Floda IBK H4,Guldhedens IK H4,Adam Jällfält,Thomas Johansson
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/41545/match/1591734,2025/26,Juniorallsvenskan G HJ18,Torpahallen,580706046,IBK Göteborg,IBK Lidköping/Skara IBK,Oscar Skogsberg,Adnan Tongur
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/41546/match/1591896,2025/26,Juniorallsvenskan H HJ18,Skyttesskolan,580707028,Frölunda IBK,Varla IBK,Linus Backlund,Tommy Runhammar
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/41411/match/1664647,2025/26,Träningsmatcher Pojkar,Bergumsskolan,069003048,IBK Bergum P14,Kärra IBK P13/14 Svart,Ludvig Majnesjö,Albin Frykholm
2025-11-19,16,https://stats.innebandy.se/sasong/43/serie/41943/match/1603328,2025/26,HJ Södra,Stureforshallen,231001032,Hjulsbro IK HJ,Linköping IBK Ungdom HJ Svart,Oscar Bard,Thomas Nystrand
2025-11-19,16,https://stats.innebandy.se/sasong/43/serie/41531/match/1588723,2025/26,Pantamera Flickor Röd Klass A,Ramdalens Sportcenter,232200024,Onyx IBS,Hjulsbro IK F 10/11,Mats-Ola Svensson,Magnus Appelkvist
2025-11-19,16,https://stats.innebandy.se/sasong/43/serie/41534/match/1588976,2025/26,Pantamera Flickor Röd Klass D,Valkebohallen,232203011,Linköping IBK Ungdom F 11/13,Solfjäderstaden IBK F 13,Jakob Jansson,Love Arvidsson
2025-11-20,18,https://stats.innebandy.se/sasong/43/serie/41461/match/1621454,2025/26,Flickor Röd Division 2 Dalarna/Gävleborg,Ferrum Arena,034034048,Sandvikens AIK,Strömsbro IF,Leo Norell,Melvin Persson
2025-11-20,18,https://stats.innebandy.se/sasong/43/serie/41226/match/1631049,2025/26,Herrar Division 2 GUD Grupp A,CIK A,034003018,SK Vide,IS Saga,Jonas Nordqvist,Tony Nyberg
2025-11-20,18,https://stats.innebandy.se/sasong/43/serie/41550/match/1591545,2025/26,Juniorallsvenskan B DJ18,Uw-Tech Arena 1,580731037,Falun IBK,Sandvikens AIK,Rasmus Olmats,Jussi Nissinen
2025-11-20,20,https://stats.innebandy.se/sasong/43/serie/41461/match/1621454,2025/26,Flickor Röd Division 2 Dalarna/Gävleborg,Ferrum Arena,034034048,Sandvikens AIK,Strömsbro IF,Leo Norell,Melvin Persson
2025-11-20,20,https://stats.innebandy.se/sasong/43/serie/41550/match/1591545,2025/26,Juniorallsvenskan B DJ18,Uw-Tech Arena 1,580731037,Falun IBK,Sandvikens AIK,Rasmus Olmats,Jussi Nissinen
2025-11-20,22,https://stats.innebandy.se/sasong/43/serie/41141/match/1628162,2025/26,Klubbhuset Herrar Division 3,Tvååkers Idrottshall,070400048,Tvååkers IBK,Varla IBK 2 / HJAS,Henrik Andersson,Tobias Sandblom
2025-11-20,4,https://stats.innebandy.se/sasong/43/serie/41622/match/1582517,2025/26,Herrar Division 2,Sparbanken Nord Sport och Simhall A,110120051,Arvidsjaur IF,IBF Argentum 91,Gustaf Vallgren,Conny Björnfot
2025-11-20,4,https://stats.innebandy.se/sasong/43/serie/41630/match/1583895,2025/26,Herrar Utveckling LÅG,Bergskolan,110151053,Bergnäsets AIK/Alviks IK,IBK Luleå,Isac Lundqvist,Johan Nyström
2025-11-20,6,https://stats.innebandy.se/sasong/43/serie/41957/match/1627641,2025/26,Herrar Div 5 Södra Skåne,Tolvåkershallen A,131008013,Hofterups IBF,Åkarps IBK,Viktor Bergkvist,Erik Torstensson
2025-11-20,6,https://stats.innebandy.se/sasong/43/serie/41959/match/1617926,2025/26,Pantamera Flickor D Svår,Killebäckshallen,132023014,IBK Lund F2012-2013 Sandby,Malmhaug IBF F11/13,Erik Larsson,Johan Malmbjer
2025-11-20,6,https://stats.innebandy.se/sasong/43/serie/42045/match/1618193,2025/26,Pantamera Pojkar D (P12) Svår,Bjärehovhallen,131060011,Bjärreds IBK P12,Lomma FBC P12,Elvira Tufvesson,Max Arheden
2025-11-20,7,https://stats.innebandy.se/sasong/43/serie/41419/match/1609047,2025/26,Herrar Division 5 Västra,Rottne Sporthall,142413026,Rottne IF,Forsheda IF,Antonio Maric,Mirza Karisik
2025-11-20,7,https://stats.innebandy.se/sasong/43/serie/41672/match/1611120,2025/26,Pantamera P Röd MellanSyd -10,Lindsdals Sporthall,141458029,CL98IC P10/2,CL98IC P10/3,Rolf Vatvedt,Anders Stenberg
2025-11-20,7,https://stats.innebandy.se/sasong/43/serie/41670/match/1610865,2025/26,Pantamera P Röd MellanSyd -13,Emmaboda Sporthall,142706038,Gantesbo IBK P12-13,Ingelstad IBK P13,Wille Frögren,Wilmer Medin
2025-11-20,7,https://stats.innebandy.se/sasong/43/serie/42295/match/1666839,2025/26,Träningsmatcher SBIBF Ungdom,Torpshallen,143150026,Bankeryds Skid o MK P09-10,Fagerhult Habo IBK Ungdom P09/10,Emil Lindén,Oliver Nilsson
2025-11-20,8,https://stats.innebandy.se/sasong/43/serie/42184/match/1653517,2025/26,Bäst i Stan Dam – Slutspel,Trädgårdsstadshallen (Tullinge),150164010,FBI Tullinge (Div 1),Älvsjö AIK IBF (A) (Allsvenskan),Anton Fritshammar,Magnus Eriksson
2025-11-20,1,https://stats.innebandy.se/sasong/43/serie/40701/match/1570570,2025/26,Division 1 Herrar Västra Götaland,Lundenhallen,580034050,IBK Göteborg,FBC Partille,Adam Kruse,Martin Johansson
2025-11-20,1,https://stats.innebandy.se/sasong/43/serie/41550/match/1591546,2025/26,Juniorallsvenskan B DJ18,IFU Arena Mirva (E),580731038,IK Sirius FBC,Storvreta Ungdom IBK,Niklas Arvidsson,Christoffer Stenlund
2025-11-20,1,https://stats.innebandy.se/sasong/43/serie/41550/match/1591545,2025/26,Juniorallsvenskan B DJ18,Uw-Tech Arena 1,580731037,Falun IBK,Sandvikens AIK,Rasmus Olmats,Jussi Nissinen
2025-11-20,10,https://stats.innebandy.se/sasong/43/serie/41982/match/1664180,2025/26,DM Damer Slutspel,Uppsala Life Arena,170098020,Uppsala Life IF (D2),Rasbo IK (D2),Bo Pettersson Loklint,Pontus Orebrand
2025-11-20,10,https://stats.innebandy.se/sasong/43/serie/41226/match/1631049,2025/26,Herrar Division 2 GUD Grupp A,CIK A,034003018,SK Vide,IS Saga,Jonas Nordqvist,Tony Nyberg
2025-11-20,10,https://stats.innebandy.se/sasong/43/serie/41550/match/1591546,2025/26,Juniorallsvenskan B DJ18,IFU Arena Mirva (E),580731038,IK Sirius FBC,Storvreta Ungdom IBK,Niklas Arvidsson,Christoffer Stenlund
2025-11-20,11,https://stats.innebandy.se/sasong/43/serie/41019/match/1620968,2025/26,Herrar Division 5 Västra,Deje Sporthall A,181500018,Olsäters SK U,Åmotfors IF U,Erik Jansson,Edwin Sundström
2025-11-20,14,https://stats.innebandy.se/sasong/43/serie/42676/match/1665177,2025/26,DM Herrar Semifinaler,Nyhemshallen - Mullsjö,204363001,Mullsjö AIS Utveckling,IBK Vänersborg Herr A,Patrik Augustsson,Daniel Larm
2025-11-20,14,https://stats.innebandy.se/sasong/43/serie/42676/match/1665178,2025/26,DM Herrar Semifinaler,"Sparbankshallen, T-holm",204363002,Fröjereds IBF Herr,IBK Lockerud Mariestad H2,Emil Åkervik,Henrik Carlsson
2025-11-20,14,https://stats.innebandy.se/sasong/43/serie/41605/match/1604363,2025/26,Pantamera Flickor Röd 2,"Fjärilshallen, Skövde",204321041,Stöpen IBK F2010-2012 (F12)/Skövde IBF,IBK Lockerud Mariestad F11/12 vit,Kevin Karlsson,
2025-11-20,14,https://stats.innebandy.se/sasong/43/serie/41608/match/1605807,2025/26,Pojkar Blå 1 Grupp 1,Öxabäckshallen,204324011,IBK Tygriket 99 P14,Fristads GoIF P 13,,
2025-11-20,14,https://stats.innebandy.se/sasong/43/serie/42295/match/1666839,2025/26,Träningsmatcher SBIBF Ungdom,Torpshallen,143150026,Bankeryds Skid o MK P09-10,Fagerhult Habo IBK Ungdom P09/10,Emil Lindén,Oliver Nilsson
2025-11-20,15,https://stats.innebandy.se/sasong/43/serie/41165/match/1575511,2025/26,Herrar Division 2,Skinnskattebergs Sporthall,211000032,Knäppmora AIK H2,Skiljebo SK A-lag,Henrik Brehmer,Daniel Östling
2025-11-20,15,https://stats.innebandy.se/sasong/43/serie/41261/match/1640603,2025/26,Pantamera PK3,Carlforska gymnasiet,215002023,Skiljebo SK 2012 PK 3,Tillberga IK Ung PK3,Andreas Julin,Joakim Fredriksson
2025-11-20,15,https://stats.innebandy.se/sasong/43/serie/41264/match/1641071,2025/26,Pantamera PK5 Öst,Pettersbergsskolan (S:T Ilian Skolan),215007035,Skälby IBK PK5 2013/2014,Surahammars IBF P-12/13 PK5,Philip German,Alexander German
2025-11-20,21,https://stats.innebandy.se/sasong/43/serie/40701/match/1570570,2025/26,Division 1 Herrar Västra Götaland,Lundenhallen,580034050,IBK Göteborg,FBC Partille,Adam Kruse,Martin Johansson
2025-11-20,21,https://stats.innebandy.se/sasong/43/serie/42363/match/1648337,2025/26,Pantamera Herrjunior A,Torpahallen,069000014,IBK Göteborg U16,Floda IBK HJ07-09 Svart,Emir Rajabi,Yao-Zu Galby
2025-11-20,16,https://stats.innebandy.se/sasong/43/serie/41869/match/1587654,2025/26,Damer Division 2,Ektorpshallen,230350054,IBF Norrköping,Åby IBK Ungdom,Mikael Nilsson,Joacim Engman
2025-11-20,16,https://stats.innebandy.se/sasong/43/serie/41528/match/1588428,2025/26,Pantamera Pojkar Röd Klass E,Lagmanshallen,232004035,Mjölby IBK P Röd 11/12,Linghems SK P 13,Elaine Stensson,Love Arvidsson
2025-11-21,18,https://stats.innebandy.se/sasong/43/serie/40693/match/1571829,2025/26,SSL - Svenska Superligan Herrar,IFU Arena A,580001067,Storvreta IBK,IBF Falun,David Geiser Mellkvist,Peter Novakovic
2025-11-21,18,https://stats.innebandy.se/sasong/43/serie/41230/match/1631167,2025/26,Damer Division 1 GUD Grupp A,Ferrum Arena,034001024,Sandvikens AIK,IBK Hudik,Magnus Undén,Alfons Eriksson
2025-11-21,18,https://stats.innebandy.se/sasong/43/serie/41329/match/1631207,2025/26,Damer Division 1 GUD Grupp B,Valbo Sportcentrum,034007022,Valbo IBF,IBF Hedemora,Anders Löfgren,Johan Forsström
2025-11-21,18,https://stats.innebandy.se/sasong/43/serie/41462/match/1582117,2025/26,Flickor Röd Division 3 Dalarna,Lugnet D,034022047,KFUM Falun,Smedjebackens IBK,Lina Croner,Axel Göras
2025-11-21,18,https://stats.innebandy.se/sasong/43/serie/41226/match/1631060,2025/26,Herrar Division 2 GUD Grupp A,IFU Arena Mirva (E),034003029,Vaksala SK IBK 2,Alunda IBF,Tony Nyberg,Andreas Pettersson
2025-11-21,18,https://stats.innebandy.se/sasong/43/serie/41454/match/1631116,2025/26,Herrar Division 2 GUD Grupp B,A-hallen Jernvallen Plan 1,034006029,IBK Alba,FBC Bollnäs,Erik Lindberg,Daniel Ahlin
2025-11-21,18,https://stats.innebandy.se/sasong/43/serie/41454/match/1631119,2025/26,Herrar Division 2 GUD Grupp B,Mockfjärds Sporthall,034006032,IBF Gagnef,IBF Falun Utveckling,William Lundström,Mattias Papmehl-Dufay
2025-11-21,18,https://stats.innebandy.se/sasong/43/serie/41445/match/1578589,2025/26,Herrar Division 3 Dalarna/Gävleborg,Forsbackahallen,034004044,Forsbacka IK,IBK Njutånger,Michael Hoek,Kjell Gustavsson
2025-11-21,18,https://stats.innebandy.se/sasong/43/serie/41445/match/1578588,2025/26,Herrar Division 3 Dalarna/Gävleborg,OilQuick Arena,034004043,IBK Hudik 2,Alfta IBK,Robert Mårtensson,Jimmy Löfgren
2025-11-21,18,https://stats.innebandy.se/sasong/43/serie/41451/match/1580089,2025/26,Herrjuniorer GUD,Bilkompaniet Arena,034010038,KAIS Mora UIF,IBF Hedemora,Conny Törehed,Senad Omerbasic
2025-11-21,18,https://stats.innebandy.se/sasong/43/serie/41550/match/1591549,2025/26,Juniorallsvenskan B DJ18,Uw-Tech Arena 2,580731041,KFUM Falun/IBF Falun Utveckling,IK Sirius FBC,Hasse Fogelberg,Pär Hedlund
2025-11-21,20,https://stats.innebandy.se/sasong/43/serie/41230/match/1631167,2025/26,Damer Division 1 GUD Grupp A,Ferrum Arena,034001024,Sandvikens AIK,IBK Hudik,Magnus Undén,Alfons Eriksson
2025-11-21,20,https://stats.innebandy.se/sasong/43/serie/41329/match/1631207,2025/26,Damer Division 1 GUD Grupp B,Valbo Sportcentrum,034007022,Valbo IBF,IBF Hedemora,Anders Löfgren,Johan Forsström
2025-11-21,20,https://stats.innebandy.se/sasong/43/serie/41454/match/1631116,2025/26,Herrar Division 2 GUD Grupp B,A-hallen Jernvallen Plan 1,034006029,IBK Alba,FBC Bollnäs,Erik Lindberg,Daniel Ahlin
2025-11-21,20,https://stats.innebandy.se/sasong/43/serie/41445/match/1578589,2025/26,Herrar Division 3 Dalarna/Gävleborg,Forsbackahallen,034004044,Forsbacka IK,IBK Njutånger,Michael Hoek,Kjell Gustavsson
2025-11-21,20,https://stats.innebandy.se/sasong/43/serie/41445/match/1578588,2025/26,Herrar Division 3 Dalarna/Gävleborg,OilQuick Arena,034004043,IBK Hudik 2,Alfta IBK,Robert Mårtensson,Jimmy Löfgren
2025-11-21,20,https://stats.innebandy.se/sasong/43/serie/41550/match/1591519,2025/26,Juniorallsvenskan B DJ18,Testebo Arena,580731011,Strömsbro IF,Vaksala SK IBK,Roger Morin,Mats Fernlund
2025-11-21,20,https://stats.innebandy.se/sasong/43/serie/41540/match/1591453,2025/26,Juniorallsvenskan B HJ18,Alfahallen - Gavlehov,580701035,Gävle GIK,Sundsvall FBC Ungdom,Rikard Karlsson,Karim Boudiaf
2025-11-21,20,https://stats.innebandy.se/sasong/43/serie/41993/match/1643823,2025/26,Pantamera Flickor röd div 1 2009/2010,IFU Arena DHinox (D),172223018,Vaksala SK F 2011,Strömsbro IF F16,Edwin Wallin,Lars Karlsson
2025-11-21,22,https://stats.innebandy.se/sasong/43/serie/41555/match/1606483,2025/26,Juniorallsvenskan G DJ18,Torpahallen,580736024,IBK Göteborg,Onsala IBK,Jonathan Johansson,Wessam Abdellrazek
2025-11-21,22,https://stats.innebandy.se/sasong/43/serie/41142/match/1628059,2025/26,Klubbhuset Herrar Division 2,"Sparbanken Wictory Center, Unihocplanen",070300035,Warberg IBF Herr,Vinbergs IBS Herr,Christoffer Söderström,Axel Sagdahl
2025-11-21,22,https://stats.innebandy.se/sasong/43/serie/41140/match/1628516,2025/26,Klubbhuset Herrar Division 4,Kattegatthallen,070502047,Falkenbergs IBK 2,Varla IBK H4,Thomas Roos,Jan Svensson
2025-11-21,22,https://stats.innebandy.se/sasong/43/serie/41140/match/1628517,2025/26,Klubbhuset Herrar Division 4,Vidhögehallen,070502048,Veddige IBK,Kustens IF 2 Herr,Hampus Abrahamsson,Benjamin Olsen
2025-11-21,22,https://stats.innebandy.se/sasong/43/serie/41137/match/1631013,2025/26,Klubbhuset Herrjunior,Örjanshallen,070650012,Halmstads IBK P08/09,Warberg IBF Junior,Björn Ekberg,Ronny Jensen
2025-11-21,22,https://stats.innebandy.se/sasong/43/serie/41092/match/1607320,2025/26,Pantamera Flickor Röd 1,Åsa Gårdsskola Idrottshall,071200022,Åsa IF F 10/11,Warberg IBF F12,Marcus Johansson,Kalle Borgen
2025-11-21,22,https://stats.innebandy.se/sasong/43/serie/41087/match/1607439,2025/26,Pantamera Flickor Röd 5,Lindälvshallen,071800021,Varla IBK F13/14 2,Onsala IBK F13/14,Emil Höglund,Ines Sjögren
2025-11-21,22,https://stats.innebandy.se/sasong/43/serie/41117/match/1619364,2025/26,Pantamera Pojkar Röd 1,Tvååkers Idrottshall,071051028,Tvååkers IBK P 09/10,Varla IBK P11,Matilda Wittink,Linus Möller
2025-11-21,22,https://stats.innebandy.se/sasong/43/serie/41112/match/1653056,2025/26,Pantamera Pojkar Röd 2,Frillesåshallen,072201020,Frillesås FF P 10/P 11,Tofta GIF P09/10,Anton Höök,Gustav Lif
2025-11-21,22,https://stats.innebandy.se/sasong/43/serie/41112/match/1653057,2025/26,Pantamera Pojkar Röd 2,"Sparbanken Wictory Center, Stadaxplanen",072201021,Warberg IBF P11,Veddige IBK P 10/11,Nemi Pierresdotter,Oscar Andreasson
2025-11-21,4,https://stats.innebandy.se/sasong/43/serie/41623/match/1582651,2025/26,Damer Division 1,Örnäsets Sp,110210053,Notvikens IK,IBK Luleå,Johan Rönnberg,Daniel Degerman
2025-11-21,4,https://stats.innebandy.se/sasong/43/serie/41622/match/1582519,2025/26,Herrar Division 2,Kronanhallen,110120053,Bergnäsets AIK,IBK Luleå,Jari Korpi,Kristian Rossi
2025-11-21,4,https://stats.innebandy.se/sasong/43/serie/41624/match/1582903,2025/26,Herrar Utveckling HÖG,Bergskolan,110150152,Bergnäsets AIK/Alviks IK,Tväråselets AIF,Patrik Häggström,Jens Marklund
2025-11-21,4,https://stats.innebandy.se/sasong/43/serie/41878/match/1589472,2025/26,Pantamera Pojkar Röd 10,Norrmalmia Sph,110306051,Öjebyns IBF 10/11,Bensby UFF/SSK 10/11,Devin Andersson,Alvar Wallin
2025-11-21,4,https://stats.innebandy.se/sasong/43/serie/41879/match/1589503,2025/26,Pantamera Pojkar Röd 11,Norrmalmia Sph,110307010,Öjebyns IBF 10/11,Bensby UFF/SSK 10/11,,
2025-11-21,4,https://stats.innebandy.se/sasong/43/serie/41718/match/1586831,2025/26,Pantamera Pojkar Röd 5,Bergskolan,110301010,Bergnäsets AIK/Alviks IK 5/6/7/8,Bensby UFF/GIF 1-4/5,Albin Marttala,Elias Isaksson
2025-11-21,6,https://stats.innebandy.se/sasong/43/serie/41969/match/1627969,2025/26,Damer Div 3 Södra Skåne,Herrestorpshallen,132004029,Gårdarike IBK,Lomma FBC,Kenan Masic,Emil Pettersson
2025-11-21,6,https://stats.innebandy.se/sasong/43/serie/41967/match/1627031,2025/26,Damjunior 18 Halland/Skåne,Vipeholmshallen,132028027,IBK Lund,Malmhaug IBF,Saga Ekberg,Nils Melander Hansson
2025-11-21,6,https://stats.innebandy.se/sasong/43/serie/40702/match/1572392,2025/26,Division 1 Herrar Södra Götaland,Kirsebergs Sporthall,580035052,Malmö FBC,FC Helsingborg,Frans Dahlstedt,Mattias Sjöstedt
2025-11-21,6,https://stats.innebandy.se/sasong/43/serie/41953/match/1627147,2025/26,Herrar Div 2 Skåne,Bråhögshallen,131001053,IK Stanstad A,IBK Landskrona A,David Dornlöv,Hussein Ibrahim
2025-11-21,6,https://stats.innebandy.se/sasong/43/serie/41954/match/1627269,2025/26,Herrar Div 3 Skåne,Mariahallen,131002043,SS Sofiero,IBS Svedala,Ahmad Homsi,Ante Johansson Stenholm
2025-11-21,6,https://stats.innebandy.se/sasong/43/serie/41954/match/1627271,2025/26,Herrar Div 3 Skåne,Ängelholms Idrottshall,131002045,FBC Engelholm B,Gårdarike IBK,Linus Isgren,Casper Johansson
2025-11-21,6,https://stats.innebandy.se/sasong/43/serie/41954/match/1627273,2025/26,Herrar Div 3 Skåne,FORUM Örkelljunga,131002047,Örkelljunga IF A,Västra Ingelstad IS,Tony Olsson,Jonas Pettersson
2025-11-21,6,https://stats.innebandy.se/sasong/43/serie/41955/match/1627405,2025/26,Herrar Div 4 Skåne,Tianshallen,131004047,Bromölla IBK,Båstads GIF,Björn Zorec,Christian Nilsson
2025-11-21,6,https://stats.innebandy.se/sasong/43/serie/41956/match/1627567,2025/26,Herrar Div 5 Norra Skåne,Tollarps Sporthall,131007029,Tollarp IBK,Willands IBK B,Per-Ivar Kullman,Andreas Ljunggren
2025-11-21,6,https://stats.innebandy.se/sasong/43/serie/41956/match/1627568,2025/26,Herrar Div 5 Norra Skåne,Vittsjö Idrottshall,131007030,Emmaljunga GOIF,Gantofta IBK,Andreas Ekstrand,Jonas Malmborg
2025-11-21,6,https://stats.innebandy.se/sasong/43/serie/41548/match/1605605,2025/26,Juniorallsvenskan J HJ18,Lerbäckshallen A,580709021,IBK Lund/IBK Lund Elit,Lomma FBC,Peter Dahlberg,Mats Ekblad-Thun
2025-11-21,6,https://stats.innebandy.se/sasong/43/serie/41548/match/1605607,2025/26,Juniorallsvenskan J HJ18,Qpoolen,580709023,Röke IBK,Åstorp/Kvidinge IBS,Senad Hamula,Albin Sadiku
